date,labour_force,registered_job_seekers,registered_unemployed_sa,unemployment_rate_sa,job_seeker_rate,log_registered_unemployed_sa_pct,registered_unemployed_sa_change_mom,log_registered_job_seekers_pct,registered_job_seekers_change_mom,chf_neer,snb_chf_neer,eur_chf,usd_chf,log_chf_neer_pct,chf_neer_appreciation_mom,log_snb_chf_neer_pct,snb_chf_neer_appreciation_mom,log_eur_chf_appreciation_pct,eur_chf_appreciation_mom,log_usd_chf_appreciation_pct,usd_chf_appreciation_mom
2005-01-01,3946988.0,229624.0,147613.07104839,3.73989156,5.817702004667863,1190.2349744465964,-0.678317713382512,1234.4198467581434,0.8704112618167983,68.66,111.0549,1.5468761904761905,1.1791800000000001,422.9166788029546,-1.4459476908308488,471.00246736353375,-1.3893415707886447,-43.62375363753915,-0.6806838465822622,-16.481928165781273,-2.814717407205036
2005-02-01,3946988.0,228701.0,148664.80343785,3.76653801,5.794317084318473,1190.9449409326294,0.709966486032954,1234.017075254176,-0.4027715039674149,68.22,110.3485,1.5501099999999999,1.191784210526316,422.27377769905,-0.6429011039045918,470.36435394975354,-0.6381134137802178,-43.83258961549996,-0.20883597796080977,-17.545152081733498,-1.063223915952225
2005-03-01,3946988.0,224525.0,150159.87661003,3.80441685,5.688514887808121,1191.9455849536757,1.0006440210463552,1232.174233853915,-1.8428414002610225,68.57,110.8591,1.5493809523809523,1.1756260869565218,422.78551212962736,0.5117344305773486,470.82600256112397,0.46164861137043545,-43.785546559482476,0.04704305601748615,-16.180084565031404,1.3650675167020943
2005-04-01,3946988.0,219020.0,149684.35651924,3.79236918,5.54904144628765,1191.628406607786,-0.3171783458897153,1229.6918328829752,-2.482400970939807,68.31,110.4915,1.5474571428571429,1.1953666666666667,422.40561687437577,-0.37989525525159706,470.4938594922153,-0.3321430689086924,-43.66130307550824,0.12424348397423302,-17.84529723502232,-1.6652126699909147
2005-05-01,3946988.0,214024.0,150429.69561235,3.81125293,5.42246391425563,1192.1251115239381,0.49670491615211176,1227.3843437248408,-2.307489158134331,67.99,109.9853,1.54485,1.217161904761905,421.93606355383685,-0.46955332053892107,470.0346720498645,-0.45918744235075337,-43.49268182577835,0.16862124972989534,-19.652184111572893,-1.8068868765505748
2005-06-01,3946988.0,210257.0,150920.39456716,3.82368516,5.327024049731086,1192.4507788487497,0.3256673248115476,1225.608587097895,-1.7757566269458493,67.28,108.9501,1.5391045454545456,1.2665136363636362,420.8863015664693,-1.0497619873675603,469.0889979242433,-0.945674125621224,-43.120078331923715,0.3726034938546334,-23.626795736857478,-3.9746116252845844
2005-07-01,3946988.0,208300.0,149668.19602732,3.79195974,5.277441938004372,1191.617609644942,-0.8331692038077563,1224.6734627249064,-0.9351243729886392,66.45,107.5685,1.5578285714285713,1.294545,419.64497851592546,-1.2413230505438264,467.8127853938397,-1.2762125304035976,-44.32929102191829,-1.2092126899945725,-25.815928206180207,-2.189132469322729
2005-08-01,3946988.0,210114.0,149492.43064323,3.78750659,5.323401033902307,1191.5001039382116,-0.1175057067302987,1225.5405519548829,0.8670892299765001,66.92,108.3593,1.5528347826086955,1.2629434782608695,420.3497876118623,0.7048090959368665,468.5452557247708,0.7324703309311076,-44.00821525501089,0.3210757669073985,-23.344509039614675,2.471419166565532
2005-09-01,3946988.0,210888.0,149745.47842322,3.79391775,5.34301092377276,1191.6692321353028,0.16912819709114046,1225.908246584379,0.3676946294960999,66.92,108.3866,1.5495909090909092,1.2670619047619047,420.3497876118623,0.0,468.57044651282666,0.025190788055851954,-43.79909664768356,0.20911860732732634,-23.670075946815874,-0.32556690720119974
2005-10-01,3946988.0,212534.0,148359.79327681,3.75881035,5.384713609466257,1190.739563821357,-0.92966831394574,1226.6857254547974,0.777478870418463,66.73,108.1118,1.5489714285714284,1.28797,420.0654626915515,-0.2843249203108371,468.31658768747053,-0.2538588253561329,-43.7591116184844,0.03998502919916547,-25.306733548543498,-1.6366576017276238
2005-11-01,3946988.0,216859.0,146175.64640927,3.70347329,5.494290836455545,1189.256423519431,-1.4831403019259142,1228.7002651745597,2.014539719762297,66.58,107.931,1.5448681818181818,1.31104,419.84042321468786,-0.22503947686362835,468.1492134058856,-0.16737428158495504,-43.4938587498285,0.2652528686558995,-27.08207153763692,-1.7753379890934227
2005-12-01,3946988.0,220999.0,142344.05059156,3.60639684,5.599180945064946,1186.6002297604189,-2.6561937590122398,1230.5913455602774,1.8910803857177143,66.48,107.7703,1.5478619047619047,1.3053238095238096,419.6901150547193,-0.15030815996857427,468.0002110310906,-0.1490023747949749,-43.68745623780537,-0.1935974879768736,-26.645113989882603,0.43695754775431794
2006-01-01,3946988.0,221825.0,140441.69264848,3.55819913,5.620108295236773,1185.254768267684,-1.3454614927347848,1230.9644061703539,0.3730606100764362,66.64,108.0805,1.5494227272727272,1.277325,419.93049978585873,0.24038473113944292,468.28763198440555,0.28742095331494966,-43.78824275427866,-0.10078651647329195,-24.47680474108723,2.1683092487953743
2006-02-01,3946988.0,218394.0,139051.93697598,3.52298859,5.533181251121108,1184.2602789633265,-0.9944893043575576,1229.4056049948038,-1.5588011755501157,65.93,106.9304,1.55803,1.3052157894736842,418.85935731252084,-1.0711424733378863,467.2178155526555,-1.0698164317500414,-44.34222027188851,-0.5539775176098445,-26.63683830234057,-2.160033561253343
2006-03-01,3946988.0,212486.0,138180.37769141,3.50090696,5.383497492264988,1183.6315195368113,-0.6287594265152165,1226.663138282333,-2.7424667124707867,65.7,106.5222,1.5690782608695653,1.305017391304348,418.50989254905653,-0.34946476346431155,466.8353414130876,-0.3824741395679325,-45.04883519649333,-0.7066149246048212,-26.621636735585586,0.015201566754985407
2006-04-01,3946988.0,204316.0,135466.57039191,3.43215055,5.176504210299094,1181.6480175888407,-1.9835019479705807,1222.7423093940824,-3.920828888250526,65.84,106.7694,1.5748333333333333,1.282985,418.7227556368814,0.2128630878248714,467.0671368618367,0.23179544874909652,-45.41494465724338,-0.366109460750053,-24.918939421675287,1.7026973139102992
2006-05-01,3946988.0,196638.0,134002.79852016,3.39506476,4.981976129646201,1180.5615963193777,-1.0864212694630169,1218.9119753877512,-3.8303340063312135,67.29,109.118,1.5564,1.218968181818182,420.90116372002274,2.178408083141335,469.2429865481437,2.1758496863070036,-44.237546212826146,1.1773984444172356,-19.800474828659766,5.118464593015521
2006-06-01,3946988.0,189892.0,131820.38520723,3.33977162,4.8110609913179365,1178.919555682388,-1.6420406369898046,1215.4210768477499,-3.4908985400013535,67.27,109.1757,1.5601272727272728,1.232118181818182,420.87143720375144,-0.029726516271296077,469.2958511075366,0.052864559392901356,-44.47674030151491,-0.23919408868876246,-20.873478731111906,-1.0730039024521396
2006-07-01,3946988.0,186936.0,130229.14701453,3.29945637,4.736168440339823,1177.7050847101782,-1.2144709722097105,1213.8521591267895,-1.5689177209603713,66.94,108.6334,1.5686714285714285,1.237565,420.3796695783181,-0.49176762543334007,468.7978910860397,-0.49796002149685137,-45.022903727084824,-0.5461634255699153,-21.314573933383084,-0.44109520227117827
2006-08-01,3946988.0,186654.0,129258.07338629,3.27485347,4.729023751782372,1176.9566253756789,-0.74845933449933,1213.7011914597965,-0.15096766699298314,66.61,108.0931,1.5775260869565215,1.231778260869565,419.8854716425088,-0.4941979358093249,468.2992892820721,-0.498601803967631,-45.585785219445164,-0.56288149236034,-20.845886585201537,0.4686873481815468
2006-09-01,3946988.0,184880.0,127900.85851795,3.24046738,4.684078086885494,1175.9010699959965,-1.055555379682346,1212.7462244948263,-0.9549669649702537,66.25,107.5017,1.5840571428571428,1.24545,419.3435464866331,-0.5419251558756741,467.75066613961667,-0.5486231424554262,-45.99893677776207,-0.41315155831690475,-21.94969103940122,-1.1038044541996825
2006-10-01,3946988.0,186149.0,126446.62329315,3.2036232,4.7162291853940275,1174.7575547851877,-1.1435152108088005,1213.4302707274617,0.68404623263541,65.79,106.7083,1.5898,1.2601666666666667,418.64678510979064,-0.6967613768424599,467.0098943473554,-0.7407717922612846,-46.36082221568753,-0.3618854379254586,-23.124398734807784,-1.174707695406564
2006-11-01,3946988.0,188641.0,123647.71967809,3.13271081,4.779365936759879,1172.5191831033374,-2.238371681850367,1214.7601016859776,1.3298309585159132,65.95,106.9722,1.5922318181818182,1.235609523809524,418.8896879163323,0.24290280654167873,467.25689876205274,0.2470044146973578,-46.513669125725386,-0.15284691003785866,-21.156438987454283,1.9679597473535004
2006-12-01,3946988.0,192156.0,120559.45110909,3.05446713,4.8684211859777635,1169.9898280445702,-2.5293550587671234,1216.6062821110477,1.846180425070088,66.17,107.2777,1.5969263157894737,1.20986,419.2227188023968,0.3330308860644777,467.54207995191405,0.28518118986130503,-46.80807290259614,-0.2944037768707517,-19.05046504352626,2.1059739439280243
2007-01-01,3946988.0,193176.0,119312.94299531,3.02288588,4.894263676504717,1168.9505093360615,-1.0393187085087447,1217.135696944168,0.5294148331204269,65.12,105.5676,1.6154545454545455,1.2430904761904762,417.6231721694285,-1.59954663296827,465.9351506012014,-1.606929350712619,-47.96163693681894,-1.1535640342228035,-21.760059844797855,-2.709594801271596
2007-02-01,3946988.0,188902.0,117064.25738474,2.96591369,4.785978574041776,1167.0478271436727,-1.9026821923887383,1214.8983641046045,-2.237332839563578,64.99,105.303,1.621165,1.2393263157894736,417.42334119062576,-0.19983097880276546,465.6841908762587,-0.25095972494273155,-48.31450265925123,-0.3528657224322913,-21.456793826127086,0.30326601867076874
2007-03-01,3946988.0,180298.0,113746.58678003,2.88185793,4.567989565714413,1164.1728330033593,-2.874994140313447,1210.236631650648,-4.661732453956574,65.6,106.3006,1.6124136363636365,1.2178318181818182,418.35756959500435,0.9342284043785867,466.62709297346066,0.9429020972019657,-47.773220940920794,0.5412817183304384,-19.707207944324743,1.7495858818023429
2007-04-01,3946988.0,173806.0,112079.08872348,2.83961058,4.403509714242861,1162.69600503879,-1.4768279645693383,1206.5695013657128,-3.6671302849351832,64.87,105.0093,1.637463157894737,1.2123619047619048,417.23852672249643,-1.1190428725079187,465.4048917663878,-1.2222012070728852,-49.314818927858326,-1.541597986937532,-19.25704443633309,0.45016350799165394
2007-05-01,3946988.0,165843.0,109905.78367624,2.78454821,4.201760937707436,1160.7378765724357,-1.9581284663543101,1201.879683667108,-4.6898176986046565,64.28,104.0056,1.6505909090909092,1.2211227272727272,416.3248540869312,-0.9136726355652058,464.44447438455666,-0.960417381831121,-50.11333505221843,-0.7985161243601056,-19.977070381427776,-0.7200259450946866
2007-06-01,3946988.0,158677.0,107088.57553912,2.71317206,4.020204773868073,1158.1411579776154,-2.5967185948202314,1197.462596847526,-4.4170868195822095,63.99,103.452,1.6542619047619047,1.232995238095238,415.87268211513685,-0.4521719717943711,463.9107737015788,-0.5337006829778375,-50.3354930354988,-0.2221579832803684,-20.94463621270918,-0.967565831281405
2007-07-01,3946988.0,157068.0,106751.09645517,2.70462176,3.9794395118505554,1157.8255202280932,-0.31563774952223866,1196.4434111579722,-1.0191856895537512,64.15,103.7489,1.656709090909091,1.206904761904762,416.1224091061645,0.24972699102767137,464.1973556644963,0.2865819629174666,-50.48331593071658,-0.1478228952177787,-18.80590342008897,2.1387327926202104
2007-08-01,3946988.0,156235.0,105837.88906453,2.68148495,3.9583348112535433,1156.9663853999332,-0.8591348281599949,1195.9116562990353,-0.5317548589368926,64.8,104.8398,1.6382652173913044,1.2027391304347825,417.13056033582285,1.0081512296583242,465.2433470784557,1.0459914139594275,-49.363788770330416,1.1195271603861627,-18.460156429596413,0.3457469904925574
2007-09-01,3946988.0,154395.0,104646.14085982,2.65129108,3.911716985204921,1155.833985055606,-1.1324003443271522,1194.726953262877,-1.1847030361582256,64.74,104.6996,1.6474499999999999,1.1851850000000002,417.0379248498098,-0.09263548601302318,465.1095297429843,-0.13381733547140584,-49.92286379203274,-0.559075021702327,-16.98988805453854,1.4702683750578736
2007-10-01,3946988.0,157458.0,105136.01451917,2.66370241,3.989320464110861,1156.3010167236578,0.4670316680517317,1196.691403501928,1.9644502390510752,64.11,103.6335,1.670621739130435,1.174095652173913,416.0600357999166,-0.9778890498932356,464.0860636629464,-1.023466080037906,-51.319585602313175,-1.3967218102804324,-16.049819353322402,0.9400687012161377
2007-11-01,3946988.0,161214.0,104432.39321687,2.64587562,4.084481635110114,1155.6295186158914,-0.6714981077664106,1199.0487953918778,2.3573918899496675,65.52,105.9411,1.648540909090909,1.1233238095238096,418.2355439544814,2.1755081545647954,466.2883279298269,2.2022642668804906,-49.989059917012085,1.3305256853010903,-11.629197749150531,4.4206216041718704
2007-12-01,3946988.0,164838.0,102178.67507538,2.58877592,4.176298483805879,1153.4478276225855,-2.1816909933058923,1201.2718452401716,2.22304984829384,65.04,105.1532,1.6591526315789473,1.1401999999999999,417.5002465239555,-0.7352974305258613,465.5418334400812,-0.7464944897457144,-50.63070091336604,-0.6416409963539564,-13.120368561534434,-1.4911708123839027
2008-01-01,3946988.0,166414.0,101816.36783859,2.57959659,4.2162276652475255,1153.0926154443212,-0.35521217826430984,1202.223393844551,0.9515486043794681,66.76,107.9969,1.6203227272727274,1.1005571428571428,420.11040987936343,2.610163355407906,468.2102523008557,2.6684188607745227,-48.2625343769627,2.3681665364033435,-9.581654508627702,3.538714052906732
2008-02-01,3946988.0,163744.0,100428.09003648,2.5444235,4.14858114592697,1151.7197228348134,-1.372892609507744,1200.6059511604817,-1.617442684069374,67.21,108.8929,1.6080380952380953,1.0889849999999999,420.78220459818743,0.6717947188240032,469.03648303846364,0.8262307376079434,-47.50148615446129,0.7610482225014081,-8.524606975127625,1.0570475335000769
2008-03-01,3946988.0,159031.0,100107.28015688,2.53629553,4.029173638227428,1151.399769149866,-0.3199536849474498,1197.685443075193,-2.920508085288702,69.89,113.4471,1.5720368421052633,1.0125857142857142,424.6922577489038,3.910053150716351,473.13366489775876,4.0971818592951195,-45.23721301861152,2.26427313584977,-1.250717250008904,7.273889725118721
2008-04-01,3946988.0,154894.0,100195.16091462,2.53852206,3.924359536943107,1151.4875172201425,0.08774807027657516,1195.0496290987226,-2.6358139764704447,69.21,112.4247,1.5963863636363635,1.013840909090909,423.7145360853772,-0.9777216635266086,472.22836642075805,-0.9052984770007129,-46.77425522093064,-1.537042202319121,-1.3745998472115828,-0.12388259720267869
2008-05-01,3946988.0,148527.0,98477.11177023,2.49499395,3.7630466573498578,1149.7579432343673,-1.7295739857752324,1190.8522038879787,-4.197425210743859,67.72,110.0778,1.6247095238095237,1.0448,421.53815572649347,-2.176380358883705,470.11873885202056,-2.109627568737494,-48.53290452244423,-1.7586493015135858,-4.382547954002951,-3.0079481067913685
2008-06-01,3946988.0,144546.0,98167.23697914,2.48714303,3.662184936969659,1149.4427803023495,-0.31516293201775625,1188.135307497583,-2.716896390395732,68.17,110.8539,1.6139190476190475,1.0371190476190475,422.2004585374694,0.6623028109759161,470.82131181227214,0.7025729602515867,-47.866541222002525,0.6663633004417022,-3.6446722676740326,0.7378756863289184
2008-07-01,3946988.0,143798.0,98592.83005089,2.49792576,3.643233777249893,1149.8753820410066,0.4326017386570129,1187.6164815966522,-0.5188259009307785,68.08,110.8091,1.6192565217391304,1.0282772727272727,422.0683484265119,-0.13211011095751246,470.78089009046016,-0.040421721811981115,-48.19671067023171,-0.33016944822918504,-2.78848512167463,0.8561871459994026
2008-08-01,3946988.0,143549.0,98790.59980302,2.50293641,3.636925169268313,1150.0757735515383,0.20039151053174464,1187.4431719311083,-0.17330966554391125,67.03,109.0966,1.6211904761904763,1.0840571428571428,420.5140280369866,-1.5543203895252873,469.2233728283755,-1.557517262084673,-48.316074121150706,-0.11936345091899625,-8.071061644093994,-5.282576522419364
2008-09-01,3946988.0,145937.0,100794.27335755,2.55370103,3.6974270000314164,1152.083682107648,2.007908556109669,1189.0930300715286,1.6498581404202923,67.57,110.1718,1.5942272727272728,1.1101571428571428,421.3164097564083,0.8023817194217031,470.20409656046337,0.9807237320878812,-46.638915033447574,1.6771590877031315,-10.45015754457061,-2.3790959004766155
2008-10-01,3946988.0,151390.0,103569.14053488,2.62400444,3.835582981250513,1154.7994693150115,2.715787207363519,1192.7614567605924,3.6684266890638355,69.85,113.9779,1.519404347826087,1.1429454545454545,424.63500857029703,3.318598813888741,473.60045699521623,3.3963604347528644,-41.831838162434515,4.807076871013059,-13.36086623664119,-2.91070869207058
2008-11-01,3946988.0,160144.0,107294.66531355,2.7183935,4.0573723558318395,1158.333420989495,3.5339516744834327,1198.38286894588,5.6214121852876815,69.39,113.6278,1.51617,1.1910333333333334,423.97427649114576,-0.6607320791512734,473.2928194658268,-0.30763752938941025,-41.618741813644,0.21309634879051487,-17.482127766693356,-4.121261530052166
2008-12-01,3946988.0,171279.0,111290.81496446,2.81963905,4.339486210751084,1161.9902008830945,3.656779893599605,1205.1049084853248,6.722039539444722,69.95,115.0643,1.539338095238095,1.140359090909091,424.778070111149,0.8037936200032618,474.54911025428527,1.2562907884584433,-43.13525157445293,-1.5165097608089297,-13.134320483234985,4.347807283458371
2009-01-01,3946988.0,180287.0,116859.31308832,2.96072127,4.567710872189123,1166.872603801756,4.882402918661455,1210.2305304539796,5.125621968654741,72.06,118.2139,1.4934666666666667,1.126665,427.7499105319947,2.9718404208456946,477.24956953507024,2.700459280784969,-40.11000394873377,3.0252476257191603,-11.926194153578276,1.208126329656709
2009-02-01,3946988.0,186273.0,122589.57042893,3.10590178,4.719370821497304,1171.659722895475,4.787119093718957,1213.4968618550438,3.2663314010642353,71.78,117.5002,1.4904350000000002,1.1639421052631578,427.3605885719461,-0.3893219600486191,476.6440035710425,-0.6055659640277327,-39.90680236580618,0.2032015829275906,-15.181261032585533,-3.2550668790072574
2009-03-01,3946988.0,191992.0,129967.58667866,3.29282954,4.86426611887343,1177.5040365107943,5.844313615319379,1216.5208983475172,3.024036492473442,71.79,117.7459,1.5083272727272727,1.1555045454545454,427.3745190588392,0.013930486893116267,476.8528912757405,0.208887704697986,-41.100127039434106,-1.1933246736279273,-14.453708448011755,0.7275525845737789
2009-04-01,3946988.0,194726.0,135784.41291084,3.44020334,4.933534127795676,1181.8823707775587,4.378334266764341,1217.9348721222389,1.4139737747216259,71.19,116.6285,1.5146549999999999,1.1480636363636363,426.5352359115782,-0.8392831472610283,475.89936694353094,-0.9535243322095539,-41.51876902562876,-0.41864198619465043,-13.807672873356298,0.6460355746554569
2009-05-01,3946988.0,192516.0,139815.55356034,3.54233541,4.877542064987276,1184.8079358389803,2.925565061421594,1216.7934546139077,-1.1414175083311875,71.62,117.2119,1.5117800000000001,1.1076000000000001,427.1374364570287,0.6022005454505006,476.3983407824676,0.49897383893664937,-41.328776452530185,0.18999257309857143,-10.219551231466987,3.5881216418893107
2009-06-01,3946988.0,198990.0,150478.01756831,3.8124772,5.041565872508353,1192.157228983384,7.349293144403646,1220.1009851187712,3.3075305048635073,71.93,117.5912,1.5148181818181818,1.0808727272727272,427.56934238792644,0.43190593089775575,476.7214202732655,0.3230794907979089,-41.52954197581159,-0.2007655232814045,-7.776879562269714,2.4426716691972725
2009-07-01,3946988.0,204137.0,155466.61668542,3.93886722,5.171969106569364,1195.4186303858535,3.2614014024695734,1222.65466160525,2.5536764864789347,71.64,117.2385,1.520217391304348,1.0779739130434782,427.1653577192511,-0.4039846686753208,476.4210321492676,-0.30038812399789094,-41.88533452266805,-0.35579254685646333,-7.508327279091372,0.2685522831783427
